"","Module","Symbol","X0rder","Function","Module_gene"
"167","M4.15","CD6",2290,"M4.15.T cells","M4.15_CD6"
"168","M4.15","CD96",2295,"M4.15.T cells","M4.15_CD96"
"169","M4.15","LY9",2296,"M4.15.T cells","M4.15_LY9"
"170","M4.15","CD2",2297,"M4.15.T cells","M4.15_CD2"
"171","M4.16","ITGAL",2320,"M4.16","M4.16_ITGAL"
"172","M4.16","IRAK1",2345,"M4.16","M4.16_IRAK1"
"173","M5.1","CHUK",2405,"M5.1.Inflammation","M5.1_CHUK"
"174","M5.1","TOLLIP",2442,"M5.1.Inflammation","M5.1_TOLLIP"
"175","M5.1","CCND3",2471,"M5.1.Inflammation","M5.1_CCND3"
"176","M5.1","MAPKAPK2",2490,"M5.1.Inflammation","M5.1_MAPKAPK2"
"177","M5.1","USP3",2519,"M5.1.Inflammation","M5.1_USP3"
"178","M5.1","PTPRC",2524,"M5.1.Inflammation","M5.1_PTPRC"
"179","M5.1","MAPK1",2535,"M5.1.Inflammation","M5.1_MAPK1"
"180","M5.1","CFP",2536,"M5.1.Inflammation","M5.1_CFP"
"181","M5.1","CCR1",2553,"M5.1.Inflammation","M5.1_CCR1"
"182","M5.1","CD53",2576,"M5.1.Inflammation","M5.1_CD53"
"183","M5.1","CD44",2587,"M5.1.Inflammation","M5.1_CD44"
"184","M5.1","TNFSF13B",2604,"M5.1.Inflammation","M5.1_TNFSF13B"
"185","M5.1","TXN",2606,"M5.1.Inflammation","M5.1_TXN"
"186","M5.1","TBK1",2615,"M5.1.Inflammation","M5.1_TBK1"
"187","M5.2","REL",2682,"M5.2","M5.2_REL"
"188","M5.2","HLA-G",2701,"M5.2","M5.2_HLA-G"
"189","M5.4","ITGA4",2847,"M5.4","M5.4_ITGA4"
"190","M5.4","PTPRC",2853,"M5.4","M5.4_PTPRC"
"191","M5.4","ITGB1",2881,"M5.4","M5.4_ITGB1"
"192","M5.4","FYN",2890,"M5.4","M5.4_FYN"
"193","M5.5","RPS6",3126,"M5.5","M5.5_RPS6"
"194","M5.6","CX3CR1",3287,"M5.6.Mitochondrial Stress/Proteasome","M5.6_CX3CR1"
"195","M5.7","MAP2K4",3347,"M5.7.Inflammation","M5.7_MAP2K4"
"196","M5.7","CD46",3359,"M5.7.Inflammation","M5.7_CD46"
"197","M5.7","PIK3CD",3375,"M5.7.Inflammation","M5.7_PIK3CD"
"198","M5.7","HLA-E",3386,"M5.7.Inflammation","M5.7_HLA-E"
"199","M5.7","CTSS",3387,"M5.7.Inflammation","M5.7_CTSS"
"200","M5.7","STAT6",3388,"M5.7.Inflammation","M5.7_STAT6"
