"","B-cells","CD8 T cells","Cytotoxic cells","DC","Exhausted CD8","Monocytes","NK CD56dim cells","NK cells","T-cells","Th1 cells","Treg"
"107-11-015 C2D15",4.49748835319467,4.42931980924985,7.24941159324235,1.88558838862468,4.23734920045841,7.23012007810858,3.74724255553173,6.18925354549948,5.78110749796969,6.09504175425363,3.20751648351204
"107-11-015 C4D01",4.47371434677525,3.82085566875466,6.07354156017381,0.0749291205898217,3.15757162507102,6.3054376009785,3.20784368456922,4.42167259933948,6.04520847617871,5.71878531036455,1.07492912058982
"107-11-015 CID22",3.18395096812876,3.44902261041605,6.02208077183272,0,1.95121703382455,7.26769755427575,3.0314192811425,4.65654136005547,5.66969987016451,5.9186786470665,3.59675055217913
"107-11-015 FUW04",4.4635378220073,4.13090386206798,5.85370512456214,1.51970765139976,2.39885095827152,4.8615233867199,2.15148426735945,4.4968058065932,6.02595233242304,5.6626656052418,1.9347451506786
"107-11-015 FUW12",4.39261677565923,3.97779707145547,5.67236993922434,1.22389975135612,2.28054141850356,6.23018018527668,3.16182681509513,3.33830909660406,5.77735432908159,4.97878725351959,2.54582784624348
"107-21-008 CID-7",4.52326140096816,5.86590488609308,6.73526594792776,3.6179773726495,2.90809894584397,6.43232695708232,3.51580635848261,4.47510013148256,6.89889592617647,6.10983046897917,2.93990546753686
"107-21-008 CID01",3.16728564941947,4.83393264352305,6.2646229024895,5.7910677065101,2.26040445063839,7.37909494720771,2.33453525775054,4.3873902454813,5.8599795366066,5.20610520578895,1.39875028373134
"107-21-008 CID08",3.02091238085033,4.67710325804511,6.28929436874984,7.69519006432185,3.30783405390509,8.5799936293278,2.19110793513127,4.5037485458074,5.93575206909117,5.17734175945923,0.98094454665573
"107-21-008 C1D15",2.60001927145934,4.93060492217808,6.83940732373182,8.11856641444212,4.13796653306934,7.86735655227566,3.41076426423935,5.71488895341332,6.27216867890717,6.11856641444212,2.79663831955476
"107-21-008 C1D22",3.15166364445952,5.04091330400939,6.70709615087049,6.67727535245268,3.64772834163681,6.91719921939483,3.7429798357481,5.47386685621574,6.44972107648536,5.86992043039508,2.86992043039508
"107-21-008 C2D01",2.90860900136413,4.99190321567213,5.84334819785499,6.46077899532877,2.98078343727208,7.17991445505516,3.04097418581936,3.93694436963312,5.74920633845804,5.48349907182886,2.48349907182886
"107-21-008 C2D08",2.2065104321926,3.49322193350298,5.87544797829147,6.40560312804778,3.06064217134097,8.80766411505068,2.38531043516332,4.19066991694325,5.05413235974444,5.03839415385955,0.929869697081382
"107-21-008 C2D15",2.66137428190335,5.11481957970761,7.22788640466258,5.46872920396095,4.03780195421834,6.55251411663914,4.26382592258922,5.98149675001452,6.96818602315702,6.51935527703092,1.66137428190335
"107-21-008 C3D01",3.69323244133423,5.81904108064742,6.80379197665736,6.22683906709945,4.25568372136026,6.25120623574561,3.49703642482253,4.85604137136931,7.02351018119893,6.19935833067734,2.08388111325741
"107-21-008 C4D01",3.05926054991101,4.94534067896696,6.59145946154825,5.27301659327324,2.93734083764191,5.92363246744294,3.95294778989291,4.96566167121563,6.69727139144995,6.12862668393806,0.880699170494475
"107-21-008 FUW04",4.29277885989872,5.78411393744582,6.16625201924284,3.4526314310846,2.06265643060383,5.91231723493618,3.8182519441688,4.11359547852829,6.00936219992019,5.82186524075032,2.86766893036345
"107-21-008 FUW12",3.31550619290917,4.38851244479534,5.74372504709952,7.91795928932213,2.53938952728733,6.87629050229978,3.20605619395399,5.17203274115729,5.88540800607383,5.40338611649237,2.01106869371361
"107-21-010 C1D01",3.51808918614576,5.48345037100936,6.39491445363495,3.51200987242984,3.60714394538392,7.40085451360477,3.68653052444884,3.61916943283022,6.65138656805862,6.35749992337421,3.09697237315099
"107-21-010 C1D08",3.77490179311119,5.58093106856267,6.45039637983943,3.99513704323019,3.30510514013678,7.38427804236598,3.95674251029393,3.70015545234043,6.88075436829258,6.07759920342217,3.36710582061715
"107-21-010 C1D15",3.66555252990423,5.25163088566585,6.82864134681391,2.38565712596606,3.08944416228196,7.18423387918315,4.20815876569038,4.31187853175913,6.50962543466849,6.37560346130213,3.46365963796733
"107-21-010 C1D22",3.87840786448073,5.37849324115534,6.33310895235437,3.74475308572285,3.4054457830571,7.87029049931096,4.29056305926128,3.36730933464112,6.33993922333333,5.8967561791679,3.15979058500169
"107-21-010 C2D01",3.33602393034828,5.60744952883058,6.78572857732578,3.5922814896451,4.00357750970319,7.60609623532283,4.02458077554512,4.41305450418886,6.87454008632101,6.51828090820132,2.85531589547889
"107-21-010 C2D08",3.96028086200653,5.64038627161799,6.98981318469082,2.78739732077673,3.59624170014896,7.51596789238314,4.37021773177808,4.67228319040146,6.83624311182961,6.73225576658427,2.78739732077673
"107-21-010 C2D15",4.21613063205997,5.20507328257035,6.85675005575501,2.26326287442751,3.69693029310512,6.74002463208677,4.58210332887189,4.52629728026131,6.59878516151854,6.62783530672337,1.52629728026131
"107-21-010 C3D01",3.5711062334775,5.16723402419331,6.32580371997553,1.4054530461648,3.59286718757182,6.99627209506117,3.341238020184,3.57537804760711,6.38662507540621,6.0778783881363,2.72738114105216
"107-21-010 FUW04",4.70677316852736,6.09508372137681,6.33594580531533,1.28772879931921,3.75183460691213,6.5079502918063,4.28300944498699,3.78772879931921,6.07695188635872,5.87269130004037,1.28772879931921
